trip_id,start_time,end_time,headway_secs,exact_times
ff1aeb9c-ff61-4a0a-b055-8b4d5d02eac7,20:05:00,22:11:00,2520,0
824c5efd-5676-42bb-a908-f96ebec1b855,04:28:00,05:38:00,600,0
db415bf1-730a-46eb-a566-a15effb7010d,10:47:00,12:07:00,960,0
8c178518-37d0-4c38-b186-d2fc8939342f,08:03:30,08:45:30,360,0
7053c13a-fd41-4ce9-96e7-dfd01e35d333,19:34:00,22:02:00,4440,0
8ac4b709-5f1d-41f4-ae03-e862ecc2f364,06:25:00,09:10:00,1980,0
8fd71bb9-0ac2-4263-bc6a-89ff2c0ce715,06:14:00,07:42:00,480,0
14b15c4d-b88b-4edb-b97f-4717cc97d81d,10:48:00,11:44:00,480,0
e7260077-5b03-4512-b7c4-9425e8c06f2d,05:05:00,06:00:00,3300,0
e4515212-f9d7-4bf8-8798-d04f0519af3e,19:21:00,19:43:00,660,0
b7a48079-c058-4e3a-a79e-5f757ed401b8,04:10:00,05:11:00,3660,0
f6daac3d-ff1c-4bae-b8da-b8e3cc7346cc,12:44:00,14:50:00,1080,0
7312a932-2133-41be-972d-72eb5be6919f,07:49:00,08:43:00,1080,0
cc3fc763-80ff-40a2-973a-1c2dcbe4a52d,21:53:00,24:08:00,1620,0
a84572e9-286b-47cc-a9e3-ad14162ba1d5,04:50:00,05:47:00,3420,0
3f903966-0589-476a-a965-206f7e689b5b,08:20:00,19:20:00,3960,0
0295e64c-5807-44e4-9f76-8f42e1969dec,08:21:00,10:57:00,1560,0
8969daa2-b29d-4bef-99b8-b4ca558ef9e2,10:46:30,11:42:30,420,0
61a028ca-1a76-4019-a4f9-d62dc390afbe,14:04:00,16:24:00,1200,0
729e2e4b-268f-4cda-bf87-32def0cc4a2c,09:10:00,12:00:00,2040,0
dd8e6fd5-f5bd-4c69-8157-dfc0cd92685b,09:43:00,10:21:45,465,0
907522b3-81a9-442a-8a1c-b02034deeeac,20:20:45,21:46:15,570,0
fd03bec5-0d1d-45f0-8d9f-3a8ac27ad458,20:05:30,20:21:00,465,0
8fb81f14-2a71-4096-98f3-73ac94865cbb,07:44:45,08:21:45,555,0
dd531fda-f28e-40c5-870a-d4c7ea2bd29c,12:00:45,12:40:45,480,0
fe6dfd08-d7f2-489c-907c-9c84bb1c6264,10:32:00,12:36:00,1860,0
7d8e34d4-0fe4-4207-8e98-429c03dc1fe0,17:54:00,18:54:00,1200,0
6e11e4a6-4499-46ec-afb7-03a022df681c,06:38:00,06:54:00,480,0
22a531e4-db8a-4e20-93f8-8bcb33756db1,08:05:00,14:59:00,1380,0
152a0ca8-a7e9-4ac7-aca6-c77633267467,14:54:00,17:42:00,1440,0
e591054e-1b00-4bba-a421-74874903de2e,16:34:00,17:39:00,780,0
85337b7a-3b78-48e6-98d6-27ad6d4c9b58,20:06:00,24:41:00,3300,0
68868d8b-8d9c-4131-aa14-d3ec51e2da63,10:11:00,10:50:45,795,0
f7c6e838-180d-4f75-b6af-50c3e6223dee,07:44:00,08:23:00,780,0
146c1733-49db-4394-a8e0-7f106be1602e,18:56:00,21:46:00,2040,0
b7b7b9d0-1392-43c3-bb45-d22d97929603,16:35:00,17:38:00,1260,0
123d8ec5-5999-45be-9713-4e621a790ee8,11:27:00,13:27:00,1200,0
d6dd1c1e-0a74-42d1-9de7-38332f7f712a,14:38:30,20:38:30,540,0
9e5f259a-0582-4abf-8686-f147b733fea4,05:47:00,06:47:00,600,0
acf78759-7553-4d36-8e57-b7c2ca3f9745,04:57:00,05:15:00,360,0
fce28c2b-4fba-4cb3-b82a-e9112827adec,05:39:00,09:44:00,420,0
fd07117d-d9e3-44f0-9029-76920302bb11,14:32:00,14:52:00,600,0
9a824388-b4ef-41d9-aa2b-0b244db6e0e0,04:25:00,04:43:00,1080,0
d15e082c-c0b3-4aaa-98a7-9264e7a8752a,07:08:00,09:05:00,780,0
20c46f00-aa23-469d-bc2f-c117d062b3b6,23:00:00,29:00:00,3600,0
5a62850a-2304-4ffd-aee6-7980dc17ae0b,21:03:00,22:01:00,1740,0
30fb32cf-5eb2-4cb2-9bf2-2106f4ccedab,12:05:00,12:44:00,780,0
cde36157-8e4b-4965-9beb-9eec070c9965,06:29:00,12:26:00,1260,0
6775d1e4-e1f3-4012-a39b-6257af1e8b9c,18:56:00,19:42:00,1380,0
