stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
3067O00008C0,"","Rua Monteiro da Luz , 247","",-22.90526,-43.30724,"","",0,"","",,""
3067O00009C0,"","Rua Monteiro da Luz , 145","",-22.90492,-43.3063,"","",0,"","",,""
3067O00010C0,"","Rua Monteiro da Luz , 35","",-22.90462,-43.30547,"","",0,"","",,""
3067O00011C0,"",Rua Borja Réis próximo ao 882-896,"",-22.90468,-43.30436,"","",0,"","",,""
3067O00012C0,"","R. Monteiro da Luz, 226","",-22.90512,-43.307232,"","",0,"","",,""
3067O00013C0,"",R. Fontoura Chaves próximo ao 105,"",-22.905382,-43.311908,"","",0,"","",,""
3068O00001C0,"",Rua Mario Carpenter próximo ao 1378,"",-22.889869,-43.302077,"","",0,"","",,""
3068O00002C0,"","Rua Angelina ,157","",-22.89079,-43.30325,"","",0,"","",,""
3068O00003C0,"","Rua Angelina ,81","",-22.89259,-43.30325,"","",0,"","",,""
3068O00004C0,"","Rua Angelina ,25","",-22.89385,-43.30385,"","",0,"","",,""
3068O00007C0,"",Rua Dois de Fevereiro próximo ao 962,"",-22.9042,-43.3034,"","",0,"","",,""
3068O00008C0,"",Rua José Domingues próximo ao 450,"",-22.8919,-43.305,"","",0,"","",,""
3068O00009C0,"","Rua Clarimundo de Melo, 105","",-22.89611,-43.30493,"","",0,"","",,""
3068O00010C0,"",Rua Clarimundo de Melo 27,"",-22.89604,-43.30295,"","",0,"","",,""
3068O00011C0,"",Rua Guilhermina próximo ao 179-209,"",-22.893385,-43.301005,"","",0,"","",,""
3068O00012C0,"",Rua Guilhermina próximo ao 335-351,"",-22.89213,-43.30102,"","",0,"","",,""
3068O00013C0,"",Avenida Amaro Cavalcanti próximo ao 2580-2626,"",-22.89584,-43.30157,"","",0,"","",,""
3068O00014C0,"",Rua Clarimundo de Melo próximo ao 50-56,"",-22.89593,-43.30384,"","",0,"","",,""
3068O00015C0,"",Rua Clarimundo de Melo 130,"",-22.89599,-43.30583,"","",0,"","",,""
3068O00016C0,"",R. José Domingues,"",-22.892992,-43.302897,"","",0,"","",,""
3068O00017C0,"",Rua Dois de Fevereiro próximo ao 280 - Encantado,"",-22.897957,-43.301365,"","",0,"","",,""
3068O00018C0,"",Ramiro Magalhães,"",-22.900293,-43.302101,"","",0,"","",,""
3068O00019C0,"",Rua Dois de Fevereiro próximo ao 820 - Encantado,"",-22.902242,-43.302743,"","",0,"","",,""
3069O00004C0,"",Rua Paraná 1005,"",-22.90471,-43.31064,"","",0,"","",,""
3069O00005C0,"",Rua Paraná 445,"",-22.90157,-43.30959,"","",0,"","",,""
3069O00006C0,"",Rua Paraná 335,"",-22.89933,-43.30886,"","",0,"","",,""
3069O00007C0,"",Rua Silvana próximo ao 78,"",-22.89213,-43.30614,"","",0,"","",,""
3069O00009C9,"",Rua Goiás próximo ao 634 - Estação Supervia Piedade,"",-22.89031,-43.30928,"","",0,"","",,""
3069O00010C9,"",Rua Goiás próximo ao 752,"",-22.8886,-43.3115,"","",0,"","",,""
3069O00015C0,"","Rua Clarimundo de Melo, 347","",-22.896324,-43.311066,"","",0,"","",,""
3069O00016C9,"",Rua Elias da Silva próximo ao 133,"",-22.88878,-43.31292,"","",0,"","",,""
